# In-corpus citations over papers/ (task-012). Authoritative file;
# the in-corpus column of citations-2201.02177.txt mirrors it.
# Edge rule D1-A: arXiv id anywhere in the citing paper's stored original/
#   Markdown, OR normalized title (60-char prefix for long titles) inside
#   the bibliography region; manual adjudications live in
#   .claude/skills/import-paper-card/scripts/count_incorpus.py (the
#   generator; rerun it with --write to refresh both files).
# Residual error: citations by venue name only (no arXiv id, no verbatim
#   title) are undetectable and missing here.
# Columns: arxiv-id<TAB>in-corpus-citations<TAB>citing-corpus-ids<TAB>counted-at
2310.17247	15	2310.19470 2402.16726 2407.20199 2408.08944 2409.09281 2411.00247 2503.10483 2504.13292 2506.05718 2506.23286 2507.23346 2510.25966 2601.19791 2603.01192 2603.29262	2026-08-25
2310.19470	8	2302.09160 2502.01739 2506.05718 2511.04760 2605.14659 2605.15787 2606.13753 2607.11666	2026-08-25
2311.04163	0	-	2026-08-25
2311.04354	1	2508.15841	2026-08-25
2311.06597	10	2402.16726 2405.16658 2408.08944 2408.11804 2502.01739 2506.12284 2506.21551 2601.19791 2602.08302 2603.01968	2026-08-25
2311.07568	13	2311.18817 2312.06581 2402.09469 2402.16726 2407.12332 2407.20199 2411.03541 2504.13292 2505.18266 2506.05718 2509.21519 2603.05228 2605.18022	2026-08-25
2311.18817	56	2310.17247 2402.09469 2402.10688 2402.16726 2405.16658 2405.17479 2405.19454 2406.06158 2407.12332 2407.20199 2408.08944 2408.11804 2410.04489 2411.00247 2411.03541 2412.10898 2501.04697 2502.21009 2503.23298 2504.03162 2504.13292 2505.15624 2505.18266 2505.20172 2506.05718 2506.12284 2506.13688 2506.23286 2507.20057 2509.06931 2509.17738 2509.20829 2511.04760 2512.03437 2601.19791 2602.08302 2602.16746 2602.16967 2602.18523 2602.18649 2602.19533 2603.01192 2603.01968 2603.07323 2603.13331 2603.24746 2604.07380 2605.06152 2605.08237 2605.08464 2605.09724 2605.14659 2605.15787 2605.20441 2606.13753 2606.17120	2026-08-25
2312.06581	11	2310.19470 2402.09469 2402.16726 2501.04697 2505.18266 2506.05718 2602.19533 2603.05228 2604.06256 2606.12966 2606.17399	2026-08-25
2401.10463	14	2402.10688 2405.15071 2412.04619 2502.21009 2504.03162 2504.13292 2505.20076 2506.05718 2510.04930 2511.04760 2512.03437 2601.19791 2603.01968 2605.14659	2026-08-25
2402.09469	1	2603.23784	2026-08-25
2402.10688	1	2504.03162	2026-08-25
2402.15175	20	2405.15071 2405.20233 2408.08944 2412.04619 2503.10483 2504.03162 2505.20076 2506.05718 2506.21551 2507.23346 2509.20829 2509.21519 2510.04930 2601.08316 2601.09049 2603.01968 2605.09724 2605.14659 2605.18022 2606.05863	2026-08-25
2402.15555	30	2405.12755 2408.11804 2410.04489 2501.04697 2502.01739 2502.21009 2504.03162 2504.12700 2504.13292 2504.17243 2505.15624 2506.04434 2506.05718 2506.12284 2506.21551 2509.06931 2509.17738 2509.20829 2510.25966 2511.01938 2511.04760 2512.03437 2601.08316 2601.19791 2602.02859 2602.08302 2603.24746 2605.06352 2605.09724 2608.01833	2026-08-25
2402.16726	12	2405.16658 2405.17479 2407.20199 2502.21009 2504.03162 2504.13292 2505.18266 2512.03437 2601.09049 2603.01968 2605.09724 2606.17399	2026-08-25
2403.03942	1	2404.16367	2026-08-25
2403.06925	0	-	2026-08-25
2404.16367	0	-	2026-08-25
2405.12755	11	2410.04489 2504.17243 2506.04434 2506.05718 2510.25966 2602.02859 2603.01968 2604.12434 2605.06152 2605.15787 2606.13753	2026-08-25
2405.15071	13	2409.09281 2504.03162 2504.13292 2504.20752 2506.05718 2506.21551 2509.21016 2509.21519 2510.25791 2604.13082 2605.09724 2605.12394 2606.20737	2026-08-25
2405.16658	4	2504.03162 2506.05718 2601.09049 2603.01968	2026-08-25
2405.17479	5	2501.02436 2503.10065 2504.03162 2506.05718 2601.03162	2026-08-25
2405.19454	13	2409.09281 2501.02436 2502.01739 2504.17243 2504.20571 2505.15624 2506.05718 2506.21551 2509.06931 2601.19791 2601.22637 2602.08302 2603.01968	2026-08-25
2405.20233	28	2409.09281 2502.21009 2504.03162 2504.13292 2504.17243 2504.20752 2505.15624 2506.05718 2506.12284 2509.21016 2510.04930 2511.04760 2601.09049 2603.01968 2603.05228 2603.24746 2603.25009 2604.13123 2604.20923 2605.08464 2605.09724 2605.12394 2606.12966 2606.32000 2607.04333 2607.11666 2607.20512 2608.01833	2026-08-25
2406.06158	3	2502.21009 2504.03162 2505.11411	2026-08-25
2407.12332	13	2411.03541 2502.01739 2504.03162 2504.12700 2504.13292 2505.15624 2505.20172 2506.05718 2509.06931 2509.21519 2602.08302 2604.12434 2605.06352	2026-08-25
2407.20199	11	2501.04697 2504.03162 2504.13292 2505.18266 2506.05718 2601.19791 2603.29262 2604.13082 2604.13123 2605.08464 2605.18022	2026-08-25
2408.08944	15	2411.03541 2503.10483 2504.03162 2506.05718 2507.23346 2508.15841 2509.21519 2603.24746 2604.12434 2605.06352 2605.09724 2605.15787 2605.16325 2606.05863 2606.18465	2026-08-25
2408.11804	7	2504.03162 2506.05718 2510.25966 2601.19791 2605.28975 2606.04405 2607.06639	2026-08-25
2409.09281	5	2501.04697 2506.21551 2601.09049 2603.01968 2606.00230	2026-08-25
2409.16767	0	-	2026-08-25
2410.03569	0	-	2026-08-25
2410.04489	9	2501.04697 2506.05718 2509.20829 2510.04930 2601.19791 2602.08302 2602.12039 2603.01968 2603.29262	2026-08-25
2411.00247	5	2502.01739 2502.21009 2505.15624 2506.23286 2601.19791	2026-08-25
2411.03541	1	2506.05718	2026-08-25
2412.04619	0	-	2026-08-25
2412.09810	15	2502.01739 2504.17243 2504.20571 2506.05718 2506.21551 2509.20829 2602.08302 2603.01968 2603.24746 2603.29262 2604.13123 2605.06352 2605.09724 2605.16325 2607.06639	2026-08-25
2412.10898	0	-	2026-08-25
2412.18624	2	2502.01739 2509.10562	2026-08-25
2501.02436	0	-	2026-08-25
